"APIQP Indoor, APIQP IN, APIQP✓",,Avoid,
RSPCA Approved Indoor,,Good,
"Outdoor Bred, Raised Indoors on Straw, OB, APIQP✓OB1",,Good,
"APIQP Customer Specification Coles, CSC",,Good,
"APIQP Free Range, APIQP FR, APIQP✓FR",,Best,
RSPCA Approved Outdoor Free Range,Coles Free Range,Best,Available nationally
RSPCA Approved Outdoor Free Range,Gooralie Free Range,Best,Available in QLD
RSPCA Approved Outdoor Free Range,Pandani Select,Best,Available in TAS
RSPCA Approved Outdoor Free Range,Valenca Free Range Pork,Best,
RSPCA Approved Outdoor Free Range,Grill'd,Best,Available nationally
Humane Choice,,Best,
"Australian Certified Organic, ACO",Brisbane Certified Organic,Best,
"Australian Certified Organic, ACO",More Than Organic,Best,
"Australian Certified Organic, ACO",NC Griggs & Co,Best,
"Australian Certified Organic, ACO",Nicholson's Farm Fresh Organic Meat,Best,
"Australian Certified Organic, ACO",Sherwood Road Organics,Best,
"Australian Certified Organic, ACO",Zammit Ham and Bacon Curers,Best,
"NASAA, NASAA Organic",Australian Natural Food Co.,Best,
"NASAA, NASAA Organic",Bertocchi Smallgoods,Best,
"NASAA, NASAA Organic",Cherry Tree Organics,Best,
"NASAA, NASAA Organic",Goldfields Trading-Organic Production,Best,
"NASAA, NASAA Organic",Henley Square Foodland,Best,
"NASAA, NASAA Organic",Linley Valley Pork,Best,
"NASAA, NASAA Organic",Norwood Foodland,Best,
"Tasmanian Certified Organic, TOP",Kelty Farm,Best,"Woodbridge, TAS"
PROOF,Shady Waters,Best,
PROOF,Summerland House Farm,Best,
PROOF,Forage Farms,Best,
PROOF,Sunnyville Free Range Pastured Pigs,Best,"Local Farmers Markets, Malanda Meat Co, Sprout Grocers"
PROOF,Rhodavale Pork,Best,*Direct from our on farm butcher shop - GYMPIE & SUNSHINE COAST; *Millers Gourmet Meats - TOOWOOMBA; *Shaws Meats - GYMPIE; *Maleny Butchery - MALENY; *Meat at Sunrise - SUNRISE BEACH; *Bargara; Meats - BARGARA; *Kilkivan Meats - KILKIVAN
PROOF,Piggy In The Middle,Best,
PROOF,Goulburn Valley Pork,Best,
PROOF,Emperors Pork,Best,
PROOF,Australian Pastured Pork,Best,"Carina Heights Quality Meats at Carina, QLD, Ted's Butchery at Milton, Southern NSW, The Woolly Sheep at Terranorra, NSW, Manling Meats at Crows Nest, NSW, Mary Valley Smallgoods at Cooroy, QLD, Red Bull Butchery at Grafton, NSW, West High Street Boutique Butchery at Coffs Harbour, NSW"
